ID	Quelle (source)	Erhebungsjahr (survey year)	Kanton (Canton)	Ort (city)	Anstalt (institution)	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 9"	Träger (agencies, funding bodies)	"Trägerschaft (agencies): Staatlich (governmental funded) = 1; Privat (privately funded)= 2; gemischt (public-private mix) = 3; unbestimmbar (not specified) = 4"	Konfession (denomination)	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik = 3, unbestimmbar (not specified) = 4"	gegründet (founded in)	Zweck (purpose of the institution)	"Geschlecht Insassen (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3 "	Pl‰tze (capacities)	"Platzzahl (capacities): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7"	Kategorie (categories as shown in the original sources)
AG01	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Aarau	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG03	Schweizerischer Verband für Schwererziehbare (Hg.): Heime für die schwererziehbare Jugend in der Schweiz, Zürich 1933	1933	AG	Aarburg	Staatliche Zwangserziehungsanstalt Aarburg	3			st	1	ik	3		Staatliche Erziehungsanstalt für schwererziehbare Jugendliche im Alter von 14 bis 20 Jahren	1	80	3	Nachschulpflichtige (Eintrittsalter bis 20 Jahre)
AG04	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Aristau	Arbeitskolonie Murimoos	2			pr	2	ik	3	1932	Aufnahme von: Arbeitslosen, die freiwillig um Aufnahme nachsuchen, Strafentlassenen, die bei der Entlassung noch keine Arbeit haben, Liederlichen oder Arbeitsscheuen, die durch die Gemeindebehörden versorgt werden, leicht Verwahrbaren, die richterlich oder administrativ eingewiesen werden.	1	70	3	Arbeitsfürsorge, Arbeitskolonien
AG05	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Holderbank	Aargauische Trinkerheilstätte Effinger Hort Holderbank	4			pr	2	prot	1	1914	Sie hat den Zweck, Männer, welche im Alkohol unterzugehen drohen, für eine bestimmte Zeit (Minimum: 12 Monate) aufzunehmen und sie, wenn irgend möglich, ihren Familien als nüchterne, brauchbare, pflichttreue Männer wieder zurückzugeben.	1	30	2	Kranke, Heilstätten für Alkoholkranke
AG07	Schweizerischer Verband für Schwererziehbare (Hg.): Heime für die schwererziehbare Jugend in der Schweiz, Zürich 1933	1933	AG	Birr	Schweizerisches Pestalozziheim Neuhof	3				2	ik	3		Erziehung und Berufslehre von Knaben des nachschulpflichtigen Alters	1	50	3	Nachschulpflichtige (Eintrittsalter bis 20 Jahre)
AG100	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Aristau	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG19	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Auenstein	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG20	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Baden	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
AG21	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Baldingen	Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	7				4		4		Gemeindearmenhaus ohne gemeinschaftlichen Haushalt	3		7	Armenfürsorge, Armenanstalten
AG22	Wild, Albert: Handbuch der sozialen Arbeit in der Schweiz, Band 2, Zürich 1933	1933	AG	Beinwil am See	Gemeindearmenhaus mit gemeinschaftlichem Haushalt	7				4		4		Gemeindearmenhaus mit gemeinschaftlichem Haushalt	3		7	Armenfürsorge, Armenanstalten
