ID	Kanton (Canton)	Ort (city)	Name (institution)	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Zweck 1933 (Quelle); purpose of the institution according to the source 1933 (Wild Albert)"	"Zweck 1939 (Quelle)
Z=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1939"	"Zweck/Spezifikation Pro Juventute 1944; purpose of the institution according to the source 1944"	"Zweck 1945 (Quelle)
ZH=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1945"	"Zweck 1954 (Quelle); purpose of the instititution according to the source 1954 (Schwarz Martin)"	"Trägerschaft (agencies, funded bodies): Staatlich (governmental) = 1; Privat (privately funded) = 2; gemischt (public-private mix) = 3; unbestimmbar (not specified) = 4"	Trägerschaft (agencies according to) Wild 1933	Trägerschaft (agencies according to) Pro Juventute 1944	Trägerschaft (agencies according to) Schwarz 1954	"Platzzahl (capacities): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7"	Platzzahl (capacieties according to source) 1933 (Quelle) 	Platzzahl (capacities according to source) 1939 (Quelle)	Platzzahl (capacities according to source) Pro Juventute 1944 (Quelle)	Platzzahl (capacities according to source) 1945 (Quelle) 	Platzzahl (capacities according to source) 1954 (Quelle) 	"Geschlecht Insassen (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified)= 4"	Geschlecht (gender ratio according to source) Wild 1933	Geschlecht (gender ratio according to source) 1939 (Quelle)	Geschlecht (gender ratio according to source) 1945 Quelle	Geschlecht  (gender ratio according to source) Pro Juventute 1944	Geschlecht (gender ratio according to source) Schwarz 1954	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik (interdenominational) = 3, unbestimmbar (not specified) = 4"	Konfession (denomination according to source) Wild 1933	Konfession (denomination according to source) Pro Juventute 1944	Konfession (denomination according to source) Schwarz 1954												
AG02	Aargau	Aarau	Bezirksgefängnis Aarau	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis;
Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	1			1	2					20	3					3	3			3												
AG03	Aargau	Aarburg	Kantonale Erziehungsanstalt Aarburg	3				Staatliche Erziehungsanstalt für schwererziehbare Jugendliche im Alter von 14 bis 20 Jahren		Schulentlassene Burschen		Erziehung männlicher Jugendlicher (administrativ Versorgte und gerichtlich Verurteilte)	1	1	Staat	1	3	80		80		72	1	1			1	1	3	3	3	3												
AG04	Aargau	Muri	Aargauische Arbeiterkolonie Murimoos	2				Aufnahme von: Arbeitslosen, die freiwillig um Aufnahme nachsuchen, Strafentlassenen, die bei der Entlassung noch keine Arbeit haben, Liederlichen oder Arbeitsscheuen, die durch die Gemeindebehörden versorgt werden, leicht Verwahrbaren, die richterlich oder administrativ eingewiesen werden.				"Arbeitserziehungsanstalt;
Arbeiterkolonie für Arbeitslose, die sich freiwillig melden, Strafentlassene, Arbeitsscheue und leicht Verwahrbare;
Vom Kanton benutzte Anstalt für administrative Versorgungen."	1			2	4	70				120	1	1				1	3	3		3												
AG05	Aargau	Holderbank	Effingerhort, Von Effinger-Stiftung	4				Sie hat den Zweck, Männer, welche im Alkohol unterzugehen drohen, für eine bestimmte Zeit (Minimum: 12 Monate) aufzunehmen und sie, wenn irgend möglich, ihren Familien als nüchterne, brauchbare, pflichttreue Männer wieder zurückzugeben.	A, T			"Heilstätte für alkoholkranke Männer;
Von verschiedenen Kantonen benutzte Anstalt für die Verwahrung von Gewohnheitstrinkern nach Art. 44 StGB."	2	2		2	2	30				45	1	1				1	4	1		3												
AG06	Aargau	Brugg	Bezirksgefängnis Brugg	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	1			1	1					13	3					3	3			3												
AG07	Aargau	Birr	Schweizerisches Pestalozziheim Neuhof	3				Erziehung und Berufslehre von Knaben des nachschulpflichtigen Alters.		14–20 Jahre		Anstalt für schwererziehbare männliche Jugendliche aus der ganzen Schweiz	2	2	Stiftung	2	3	50		ca. 70		75	1	1			1	1	3	3	3	3												
AG08	Aargau	Baden	Bezirksgefängnis Baden	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	1			1	1					15	3					3	3			3												
AG09	Aargau	Bremgarten	Bezirksgefängnis Bremgarten	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	1			1	1					10	3					3	3			3												
AG10	Aargau	Laufenburg	Bezirksgefängnis Laufenburg	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	1			1	1					7	3					3	3			3												
AG11	Aargau	Lenzburg	Bezirksgefängnis Lenzburg	5					G, H		G bis 1 Mt., H	"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	1			1	1					8	3					3	3			3												
