ID	Kanton (Canton)	Ort (city)	Anstalt (institution)	aufgeführte, alternative Bezeichnungen (alternative notations)	"Anstaltszweck (Quelle)
(purpos of the institution according to the source)"	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	Offenheit Code	DummyOffen	DummyHalboffen	DummyGeschlossen	Spezifikation Typologie (Quelle) (categories according to source)	Trägerschaft (agencies, funding bodies)	Spezifikation Inhaber (Quelle) (specifications of the agencies according to source)	Platzzahl (Quelle) (capacities according to source)	Platz (capacities)	Plätze Männer (Quelle) (capacities for the male gender according to source)	Plätze Frauen (Quelle) (capacities for the female gender according to the source)	"Geschlecht (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified) = 4"	Bemerkungen Plätze (Quelle)	DummyMänner	DummyFrauen	Aufenthaltsbedingungen (Quelle) (terms of detention e.g. duration of stay/juridic coverage according to source)	Einweisende Behörden: 1 = Gerichte, 2 = Untersuchungsrichter, 3 = Staatsanwaltschaft, 4 = Jugendanwaltschaft, 5 = Regierungsrat, 6 = Administrativbehörde, 7 = Justizbehörde/Strafvollzugsbehörde, 8 = Polizeibehörde/Verhöramt, 9 = Armenbehörde/Fürsorgebehörde, 10 = Vormundschaftsbehörde, 11 = Bezirksämter/Statthalteramt, 12 = Amtsvormundschaft, 13 = Jugendämter, 14 = Private/Vereine/Kirchen- und Schulbehörden	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Konfession (Quelle) (denomination according to source)	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik. (interdenominational) = 3; unbestimmt (not specified) = 4"	Seelsorge (Quelle) (pastoral care according to source)	Gottesdienste (church services according to source)
AG02	AG	Aarau	Bezirksgefängnis Aarau		"Untersuchungsgefängnis;
Vollzug von Haft- und Gefängnisstrafen bis zu 6 Monaten"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		20	2			3	Männer und Frauen	1	1	"Ohne Limite;
maximal 6 Monate, bei 2 Urteilen eventuelle länger"	2	7	11				Untersuchungsrichter	Bezirksamt	Strafvollzugsbehörde											Interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
AG03	AG	Aarburg	Kantonale Erziehungsanstalt Aarburg		Erziehung männlicher Jugendlicher (administrativ Versorgte und gerichtlich Verurteilte)	3				#REF!	1	1	1	Staatliche Anstalt, geschlossen/halboffen/offen je nach Stand der Erziehung	1		72	3	72		1	nur männliche Jugendliche	1	0	Nach behördlicher Weisung, keine Mindestdauer	1	4	6				Administrativbehörden	Jugendanwaltschaften	Jugendgerichte											Interkonfessionell	3	"Reformierter und katholischer Ortspfarrer, beide im Nebenamt;
jede Woche Religionsstunde für beide Konfessionen, ausserdem Zusammenkünfte und Aussprachen durch beide Ortspfarrer"	"Im Hause, Besuch freiwillig;
ausserdem jeden Sonntag freiwilliger Besuch der Ortsgottesdienste für beide Konfessionen"
AG04	AG	Muri	Aargauische Arbeiterkolonie Murimoos		"Arbeitserziehungsanstalt;
Arbeiterkolonie für Arbeitslose, die sich freiwillig melden, Strafentlassene, Arbeitsscheue und leicht Verwahrbare;
Vom Kanton benutzte Anstalt für administrative Versorgungen."	2				#REF!	0	1	0	Private, halboffene Anstalt	2	Aargauischer Verein für Schutzaufsicht, Aarau	120	4	120		1	"Reformierte: ca. 50%;
Katholiken: ca. 50%"	1	0	Nach Verfügung	6	9					Administrativbehörden	Gemeindebehörden	Kantonale Armendirektionen	Entlassenenfürsorge										Interkonfessionell	3	Reformierter Ortspfarrer und katholischer Pfarrer von Aristau, beide im Nebenamt	"Im Hause, Besuch freiwillig;
Ausserdem das ganze Jahr jeden Sonntag Möglichkeit zum Besuch der Ortsgottesdienste beider Konfessionen, jedoch nur für diejenigen, die Ausgang haben."
AG05	AG	Holderbank	Effingerhort Von Effinger-Stiftung	Stiftung Effingerhort	"Heilstätte für alkoholkranke Männer;
Von verschiedenen Kantonen benutzte Anstalt für die Verwahrung von Gewohnheitstrinkern nach Art. 44 StGB."	4				#REF!	1	0	0	Private, offene Anstalt mit Mitspracherecht des Kantons	2	Von Effinger-Stiftung, Holderbank	45	2	45		1		1	0	"Mindestens 1 Jahr;
Internierte nach StGB von den andern Insassen nicht getrennt gehalten"																				Interkonfessionell	3	Reformierter Ortspfarrer und katholischer Pfarrer aus Lenzburg, beide im Nebenamt	"Im Hause, Besuch obligatorisch;
alle 14 Tage für beide Konfessionen gemeinsam durch reformierten Ortspfarrer;
ausserdem jeden Sonntag freiwilliger Besuch der Ortsgottesdienste beider Konfessionen"
AG06	AG	Brugg	Bezirksgefängnis Brugg		"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		13	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 30 Tage"	1	8	11				Polizei	Bezirksgericht	Bezirksamt											Interkonfessionell	3	Reformierte und katholische Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
AG07	AG	Birr	Schweizerisches Pestalozziheim Neuhof		Anstalt für schwererziehbare männliche Jugendliche aus der ganzen Schweiz	3				#REF!	1	0	0	Private, offene Anstalt	2	Gemeinnützige Stiftung Schweizerisches Pestalozziheim Neuhof-Birr	75	3	75		1	nur männliche Jugendliche	1	0	"Keine, jedoch werden ungern kurzfristige Aufenthalter aufgenommen;
Aufnahmealter minimal 15 Jahre, maximal 20 Jahre"	4	14					Jugendanwaltschaften	Private												Interkonfessionell	3	Reformierter Ortspfarrer und katholischer Pfarrer aus Brugg, beide im Nebenamt	"In den Ortskirchen, Besuch freiwillig;
Diejenigen, die nicht zur Kirche gehen, werden durch den Vorsteher des Heims zusammengenommen zu einer kurzen Morgenandacht. 
Ausserdem Wochenzusammenkünfte"
AG08	AG	Baden	Bezirksgefängnis Baden		"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		15	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 30 Tage"	1	8	11				Polizei	Bezirksgericht	Bezirksamt											Interkonfessionell	3	Reformierte und katholische Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
AG09	AG	Bremgarten	Bezirksgefängnis Bremgarten		"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 30 Tage"	1	8	11				Polizei	Bezirksgericht	Bezirksamt											Interkonfessionell	3	Reformierte und katholische Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
AG10	AG	Laufenburg	Bezirksgefängnis Laufenburg		"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		7	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 30 Tage"	1	8	11				Polizei	Bezirksgericht	Bezirksamt											Interkonfessionell	3	Reformierte und katholische Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
AG11	AG	Lenzburg	Bezirksgefängnis Lenzburg		"Untersuchungsgefängnis für korrektionelle Strafverfahren;
Vollzug von Haft- und Gefängnisstrafen bis zu 30 Tagen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		8	1			3	Männer und Frauen	1	1	"Ohne Limite, nach Verfügung;
maximal 30 Tage"	1	8	11				Polizei	Bezirksgericht	Bezirksamt											Interkonfessionell	3	Reformierte und katholische Ortspfarrer im Nebenamt	Keine Gottesdienstmöglichkeit
