ID	Kanton (Canton)	Anstalt (institution)	Ort (city)	Anstaltszweck (Quelle)	Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8	Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8	Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8	Spezifikation Inhaber (Quelle) (specifications of the agencies according to source)	Trägerschaft (agencies, funding bodies)	Platzzahl (Quelle) (capacities according to source)	Platz (capacities)	Plätze Männer (Quelle) (capacities for the male gender according to source)	Plätze Frauen (Quelle) (capacities for the female gender according to the source)	Bemerkungen Plätze (Quelle) (remarks concerning capacities according to source)	Geschlecht (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified) = 4	Beschäftigung (types of forced labour)	Aufenthaltsbedingungen (Quelle) (terms of detention e.g. duration of stay/juridic coverage according to source)	Einweisende Behörden: 1 = Gerichte, 2 = Untersuchungsrichter, 3 = Staatsanwaltschaft, 4 = Jugendanwaltschaft, 5 = Regierungsrat, 6 = Administrativbehörde, 7 = Justizbehörde/Strafvollzugsbehörde, 8 = Polizeibehörde/Verhöramt, 9 = Armenbehörde/Fürsorgebehörde, 10 = Vormundschaftsbehörde, 11 = Bezirksämter/Statthalteramt, 12 = Amtsvormundschaft, 13 = Jugendämter, 14 = Private/Vereine/Kirchen- und Schulbehörden	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Konfession (denomination according to source)	Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik. (interdenominational) = 3; unbestimmt (not specified) = 4	Seelsorge (Quelle) (pastoral care according to source)	Gottesdienste (church services according to source)
AG02	Aargau	Bezirksgefängnis Aarau	Aarau	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	20	2			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG03	Aargau	Kantonale Erziehungsanstalt Aarburg	Aarburg	Erziehung männlicher Jugendlicher (administrativ Versorgte und gerichtlich Verurteilte)	3				1	84	3	84		männliche Jugendliche	1	Lehrbetriebe für: Schneider, Schuhmacher, Schreiner, Gärtner, Landwirtschaftslehrjahr. Möglichkeit nach 6 Monaten, eine evt. vor Einweisung begonnene Lehre im Externat zu beenden.	Nach Vollzugsverfügung, Mindestdauer 1 Jahr	1	4	10				Jugendanwaltschaften	Jugendgerichte	Vormundschaftsbehörden								interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Jeden Sonntag Besuch des Ortsgottesdienstes, jede Woche Religionsstunde mir Aussprachmöglichkeit für beide Konfessionen
AG04	Aargau	Aargauische Arbeiterkolonie Murimoos	Muri	Arbeitserziehung, Arbeitskolonie, Übergangsheim im Dienst des Strafvollzugs und der Heil- und Pflegeanstalten	2			Verein Aargauische Arbeitskolonie, Muri	2	120	4	120		100 bis 120 Männer	1	Landwirtschaft, Gemüsebau, diverse gewerbliche Arbeitsmöglichkeiten, Hausdienst	Nach Verfügung	4	7	8	9	10		Kantonale Justiz- und Polizeidirektoren	Jugendanwaltschaften	Vormundschaftsbehörden	Kantonale Fürsorgedirektionen	Organe der Schutzaufsicht und Entlassenenfürsorge						interkonfessionell	3	Prot. Ortspfarrer, kath. Ortspfarrer	Prot.: Einmal monatlich im Haus, Möglichkeit des Besuchs der Gottesdienst im Ort, kath.: einmal monatlich im Haus, Möglichkeit des Besuchs der Gottesdienste im Ort
AG05	Aargau	Von Effinger Stiftung Effingerhort	Holderbank	Alkoholentwöhnung	4			Von Effinger Stiftung, Holderbank	2	45	2	45			1	Landwirtschaft, Garten, Schneiderei, Schreinerei, Schmiede, Schlosserei, Malerei, Bastlerwerkstätte	Jahresaufenthalt, Einhaltung der Abstinenz und der Hausordnung	7	10					Justizbehörden	Vormundschaftsbehörden									interkonfessionell	3	Prot.: Ortspfarrer, kath.: Pfarrer von Wildegg	Prot.: Zweimal monatlich im Haus, übrige Sonntage Ortskirche, kath.: im Haus nach Vereinbarung, Möglichkeit des Besuchs des Gemeindegottesdienstes in Wildegg
AG06	Aargau	Bezirksgefängnis Brugg	Brugg	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	13	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG07	Aargau	Schweizerisches Pestalozziheim Neuhof bei Birr	Birr	Nacherziehung männlicher Jugendlicher im Alter von 16 bis 20 Jahren	3			Gemeinnützige Stiftung	2	72	3	72		männliche Jugendliche	1	Garten, Landwirtschaft, Schreinerei, Bauschlosserei, Schuhmacherei, Schneiderei	Minimal 1 Jahr. Im Heim angefangene Lehren sollten dort aber auch beendigt werden.	4	10					Jugendanwaltschaften	Vormundschaftsbehörden									interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Freiwilliger Besuch der Gemeindegottesdienste in Birr, kath.: freiwilliger Besuch der Gemeindegottesdienste in Brugg. Zusammenkunft beim Heimleiter zur kurzen Andacht für Nicht-Kirchengänger
AG08	Aargau	Bezirksgefängnis Baden	Baden	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	15	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG09	Aargau	Bezirksgefängnis Bremgarten	Bremgarten	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	10	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG10	Aargau	Bezirksgefängnis Laufenburg	Laufenburg	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	7	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG11	Aargau	Bezirksgefängnis Lenzburg	Lenzburg	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	8	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG12	Aargau	Bezirksgefängnis Muri	Muri	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	10	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG13	Aargau	Bezirksgefängnis Rheinfelden	Rheinfelden	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	12	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG14	Aargau	Bezirksgefängnis Unterkulm	Unterkulm	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	11	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG15	Aargau	Bezirksgefängnis Zofingen	Zofingen	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	15	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, Haftstrafen bis maximal 3 Monate	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG16	Aargau	Bezirksgefängnis Zurzach	Zurzach	Untersuchungshaft, Vollzug von Polizei-, Haft- und Gefängnisstrafen	5				1	10	1			Männer und Frauen	3	Überall keine Beschäftigungsmöglichkeit, evt. Mithilfe bei internen Reinigungsarbeiten	Nach Haftbefehl, nach Vollzugsverfügung, maximal 1 Monat	1	3	4	7	8	11	Bezirksämter	Staatsanwaltschaft	Jugendanwaltschaft	Gerichte	Polizeibehörde	Justizdirektion als Strafvollzugsbehörde					interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Kein Gottesdienst
AG17	Aargau	Erziehungsheim Schloss Biberstein	Biberstein	Heimschule für minderbegabte, bildungsfähige Kinder (Knaben und Mädchen)	3			Stiftung	2	75	3			Knaben und Mädchen	3	Schulbetrieb	Schulfplichtalter von 7-16 Jahren	4	10	14				Jugendanwaltschaften	Vormundschaftsbehörden	Schulbehörden								interkonfessionell, vorwiegend reformiert	3	Prot.: Ortspfarrer von Kirchberg, kath.: Ortspfarrer von Aarau, für Christkath.: Pfarrer von Aarau	Prot.: Obligatorischer Besuch der Ortsgottesdienste, kath.: obligatorischer Besuch der Ortsgottesdienste
AG18	Aargau	Erziehungsheim St. Johann	Klingnau	Betreuung und Erziehung vorschul- und schulpflichtiger Kinder sowie Jugendlicher, die aus irgend einem Grunde nicht in der Familie erzogen werden können. Internatsschule. Vom Kanton benützte Anstalt für die administrative Versorgung Jugendlicher beiderlei Geschlechts.	3			Verein St. Johann, Klingnau	2	110	4			für beide Geschlechter	3			4	6	9	10			Fürsorgestellen	Vormundschaftsbehörden	Jugendanwaltschaften	Gemeindebehörden							interkonfessionell, Führung durch katholische Ordensschwestern	2	Katholischer Pfarrer von Klingnau, ausserdem Besuch des reformierten Pfarrers von Döttingen	Im Hause, Besuch obligatorisch
AG94	Aargau	Heil- und Pflegeanstalt Königsfelden	Königsfelden	Psychiatrische Klinik mit in erster Linie therapeutischen Aufgaben. Vom Kanton benützte Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB.	6				1	800	6	380	420	einige Plätze für Hospitalisierung nach Art. 14/15 StGB zur Verfügung	3	Gärtnerei, Landwirtschaft, Papierverarbeitung, Buchbinderei, Schreinerei, Webstube, Bastelstube	Nach Verfügung	7						Justizdirektion Aargau										interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Jeden Sonntag, kath.: jeden Sonntag
AG95	Aargau	Kantonale Strafanstalt Lenzburg	Lenzburg	Gefängnis, Zuchthaus, gerichtliche Verwahrung (Art. 42 StGB), ausnahmsweise Zwangsarbeit, Untersuchungshaft (vorzeitiger Strafantritt)	5				1	220	6	220			1	Gewerbebetriebe: Schreinerei, Küferei, Malerei, Schlosserei, Korberei, Schneiderei, Schuhmacherei, Druckerei, Papiergewerbe, Bäckerei, Metzgerei, Landwirtschaft	Rückfälligkeit, auch Gemein- und Fluchtgefährlichkeit, Strafen von mehr als 1 Monat	7						Strafvollzugsbehörden der Konkordatskantone Region Nordwest-Innerschweiz										interkonfessionell	3	Prot. Pfarrer von Uerkheim, kath. Ortspfarrer	Prot.: Jeden Sonntag im Haus, kath.: jeden Sonntag im Haus
AG96	Aargau	Männerheim Satis	Seon	Versorgungsheim/Übergangsheim für Männer: einerseits von der Anstalt in die Freiheit, anderseits nach Versagen in der Freiheit: Auffangversuch um neue Internierung zu vermeiden.	3	8		Gründer, Eigentümer und Leiter: Ruth und Willi Wüthrich-Dunkel, Seon	2	90	3	90		Versuch der Grossfamilie – wo Privatfamilie fehlt oder zerbrochen	1	Externe Arbeit. Die Männer werden in Industrie, Handwerk und Gewerbe in der ganzen Umgebung untergebracht. Dazu: Schutz durch Lohnverwaltung, Betreuung des Arbeitsverhältnisses, Weiterführung medikamentöser Kuren	Für Massnahmenvollzug: nach Verfügung	7	9	10	14			Justizdirektionen	Vormundschaftsbehörden	Fürsorgeämter	Vormünder	Private						interkonfessionell	3	Prot.: Ortspfarrer, kath.: Ortspfarrer	Prot.: Besuch der Ortsgottesdienste, kath.: Besuch der Ortsgottesdienste
AG97	Aargau	Gemeinnütziges Erziehungsheim Schloss Kasteln	Oberflachs	Erziehung schulpflichtiger, schwererziehbarer Knaben und Mädchen. Vom Kanton Aargau benütztes Heim für Einweisungen.	3			Staatlich anerkannte Stiftung. Gemeinnütziges Erziehungsheim Schloss Kasteln, Oberflachs	2	42	2	29	13		3	Eigener Schulbetrieb. IV-Sonderschule, Förderklasse/Primarschulstufe und Primaroberstufe, Mitarbeit im Landwirtschaftsbetrieb, Mädchen: Haushaltlehrjahr mit Abschlussprüfung	Mindestaufenthalt: 2 Jahre, Mindestaufnahmealter: 7 Jahre, Höchstaufnahmealter: 13 Jahre. In der Regel Entlassung nach der Konfirmation.	4	9	12				Jugendanwaltschaft Aargau	Amtsvormundschaften	Jugendfürsorgevereine								protestantisch	1	Prot.: Religionsunterricht in der Schule, Präparanden- und Konfrimandenunterricht durch das reformierte Pfarramt Veltheim	Prot.: Besuch des Ortsgottesdienstes jeden Sonntag
